source,definition,rows,target_rate,prediction_mean,auc_exp016,log_loss,calibration_gap,weak_candidate,weak_reasons,severity,auc_exp022,auc_exp019,auc_exp003,auc_exp006,auc_exp008,best_model,best_model_auc,best_alt_delta_vs_exp016
screen_band,7<=screen<7.5,30217,0.6998047456729656,0.7023749211768424,0.9193642807531905,0.3248303854714546,0.002570175503876837,True,high_logloss,0.1593779902961329,0.9170518226365659,0.915629866691702,0.910107858616499,0.909585502133338,0.9106807532822996,EXP-016,0.9193642807531905,0.0
social_band,2<=social<2.5,73671,0.75693285010384,0.7586032252269843,0.9137625600267314,0.3102334550965786,0.0016703751231442743,True,low_auc,0.1494829802669835,0.9108648655822179,0.9099576545944865,0.906997756947346,0.9063035043530243,0.9093058613891368,EXP-016,0.9137625600267314,0.0
screen_social_grid,4<screen<=5 & social<=1,11914,0.029545073023333892,0.027989283733411415,0.8274640377569152,0.10639608517213715,0.0015557892899224768,True,low_auc,0.13979348188983484,0.8225161579468793,0.8141214460379613,0.8093060043874134,0.8119039054268686,0.8152681786730827,EXP-016,0.8274640377569152,0.0
screen_social_grid,7<screen<=8 & 2<social<=3,19538,0.7810420718599652,0.7849312320395323,0.9145387615138443,0.29555556497601354,0.003889160179567086,True,low_auc,0.13624767371572835,0.9116350715691914,0.9102242752550921,0.9008141872495875,0.9006845808694182,0.9028437349308266,EXP-016,0.9145387615138443,0.0
screen_social_grid,6<screen<=7 & 3<social<=4,8613,0.8662486938349008,0.8712106227995212,0.8826143632071959,0.25907592168782645,0.004961928964620443,True,low_auc,0.132765197519243,0.8774911949545042,0.8782270817510314,0.867769461384384,0.8732644706175818,0.8717830403282253,EXP-016,0.8826143632071959,0.0
screen_social_grid,5<screen<=6 & social<=1,7816,0.07766120777891504,0.07376824222402915,0.8398682728412659,0.20649893879807382,0.0038929655548858855,True,low_auc,0.12972642307044763,0.8416392377914939,0.8323421002897029,0.8389874180247416,0.8384714055261784,0.8390504912973737,EXP-022,0.8416392377914939,0.0017709649502279934
social_band,1<=social<1.5,73576,0.40226432532347506,0.40172978680406024,0.9357632307414029,0.3037316586419154,0.0005345385194148178,True,mixed_classes,0.12210900181739442,0.9347135144483544,0.9343020578699179,0.9328837249719474,0.9325867065333854,0.933437467113526,EXP-016,0.9357632307414029,0.0
oof_fixed_probability,"(0.9, 1.0]",380371,0.9890475351696107,0.9886107146595011,0.8979382228728,0.046577621769144324,0.00043682051010962564,True,low_auc,0.06820032799413722,0.8950103084661167,0.8916918165020995,0.8887132710628047,0.8885598680145756,0.8923930297448488,EXP-016,0.8979382228728,0.0
screen_social_grid,7<screen<=8 & 3<social<=4,12783,0.9248220292576078,0.9283473569825338,0.9129881571440115,0.16361237102096704,0.003525327724925975,True,low_auc,0.05623890093774209,0.9090812187933008,0.9088952306947786,0.8962845686563667,0.8992124948793859,0.9004744060835801,EXP-016,0.9129881571440115,0.0
screen_social_grid,screen<=4 & 3<social<=4,6,0.6666666666666666,0.8417254686355591,,1.1214497394686387,0.17505880196889245,False,low_auc+high_logloss+high_calibration_gap,1.6728502515115231,,,,,,,,
screen_social_grid,4<screen<=5 & social>4,2,1.0,0.6937753260135651,,0.39947744499735427,0.30622467398643494,False,high_logloss+high_calibration_gap,0.4913420987009536,,,,,,,,
