label,spec,fold,auc,columns,nnz,csr_mb,peak_rss_gb,iterations,seconds
new_gaming_over_work,"[('gaming_over_screen', 2), ('gaming_over_work', 2), ('social_over_screen', 2), ('work_over_screen', 2)]",2,0.9632976798570017,225360,10508805,82.28571319580078,1.3472213745117188,11,32.361118299886584
new_gaming_over_work,"[('gaming_over_screen', 2), ('gaming_over_work', 2), ('social_over_screen', 2), ('work_over_screen', 2)]",3,0.9633655272669077,225485,10508805,82.28571319580078,1.3472251892089844,11,29.03229680005461
new_gaming_over_work,"[('gaming_over_screen', 2), ('gaming_over_work', 2), ('social_over_screen', 2), ('work_over_screen', 2)]",4,0.9639584169268032,225489,10508805,82.28571319580078,1.3472251892089844,11,34.31576050003059
new_gaming_over_work,"[('gaming_over_screen', 2), ('gaming_over_work', 2), ('social_over_screen', 2), ('work_over_screen', 2)]",5,0.9628239029957633,225566,10508824,82.28586196899414,1.3472251892089844,11,29.608303500106558
new_notifications_over_screen,"[('gaming_over_screen', 2), ('notifications_over_screen', 2), ('social_over_screen', 2), ('work_over_screen', 2)]",1,0.9619478505231981,234904,10508805,82.28571319580078,1.3481407165527344,11,31.85751080000773
new_notifications_over_screen,"[('gaming_over_screen', 2), ('notifications_over_screen', 2), ('social_over_screen', 2), ('work_over_screen', 2)]",2,0.9626079225939481,234705,10508805,82.28571319580078,1.3526458740234375,11,31.56359610008076
new_notifications_over_screen,"[('gaming_over_screen', 2), ('notifications_over_screen', 2), ('social_over_screen', 2), ('work_over_screen', 2)]",3,0.9625343512700387,234826,10508805,82.28571319580078,1.3526496887207031,12,38.59748740005307
new_notifications_over_screen,"[('gaming_over_screen', 2), ('notifications_over_screen', 2), ('social_over_screen', 2), ('work_over_screen', 2)]",4,0.9630384654594539,234812,10508805,82.28571319580078,1.3526496887207031,11,32.43493380001746
new_notifications_over_screen,"[('gaming_over_screen', 2), ('notifications_over_screen', 2), ('social_over_screen', 2), ('work_over_screen', 2)]",5,0.9620876050386287,234897,10508824,82.28586196899414,1.3526496887207031,12,38.823260199977085
new_app_opens_over_screen,"[('app_opens_over_screen', 2), ('gaming_over_screen', 2), ('social_over_screen', 2), ('work_over_screen', 2)]",1,0.9621517142156402,232447,10508805,82.28571319580078,1.3530921936035156,11,30.17311739991419
new_app_opens_over_screen,"[('app_opens_over_screen', 2), ('gaming_over_screen', 2), ('social_over_screen', 2), ('work_over_screen', 2)]",2,0.9626837794239451,232242,10508805,82.28571319580078,1.3574943542480469,11,29.880942200077698
new_app_opens_over_screen,"[('app_opens_over_screen', 2), ('gaming_over_screen', 2), ('social_over_screen', 2), ('work_over_screen', 2)]",3,0.9627177725212067,232332,10508805,82.28571319580078,1.3574981689453125,11,32.06145750009455
new_app_opens_over_screen,"[('app_opens_over_screen', 2), ('gaming_over_screen', 2), ('social_over_screen', 2), ('work_over_screen', 2)]",4,0.9633273523633252,232326,10508805,82.28571319580078,1.3574981689453125,11,32.18742620013654
new_app_opens_over_screen,"[('app_opens_over_screen', 2), ('gaming_over_screen', 2), ('social_over_screen', 2), ('work_over_screen', 2)]",5,0.9621899027764673,232446,10508824,82.28586196899414,1.3574981689453125,11,30.393518600147218
new_notifications_over_app_opens,"[('gaming_over_screen', 2), ('notifications_over_app_opens', 2), ('social_over_screen', 2), ('work_over_screen', 2)]",1,0.9627096311669281,226141,10508805,82.28571319580078,1.3592453002929688,11,33.112671399954706
new_notifications_over_app_opens,"[('gaming_over_screen', 2), ('notifications_over_app_opens', 2), ('social_over_screen', 2), ('work_over_screen', 2)]",2,0.9632000767207451,225920,10508805,82.28571319580078,1.3643913269042969,11,32.39963479992002
new_notifications_over_app_opens,"[('gaming_over_screen', 2), ('notifications_over_app_opens', 2), ('social_over_screen', 2), ('work_over_screen', 2)]",3,0.9632613735982165,226038,10508805,82.28571319580078,1.3643951416015625,11,33.22999030002393
