config,space,metric,signal_type,k,oof_auc,fold_mean,fold_std,fold_1_auc,fold_2_auc,fold_3_auc,fold_4_auc,fold_5_auc,pearson_exp016,spearman_exp016,pearson_residual,spearman_residual
SPACE-C|manhattan|distance_mean|k=5,SPACE-C,manhattan,distance_mean,5,0.46299368996575174,0.46299564216309397,0.0013835659390157016,0.46247063073616157,0.4617676576001226,0.46320162783547303,0.46557865552772704,0.46195963911598553,-0.08351135290587045,-0.16138710199341114,0.0021380328908597113,0.06916113979918906
SPACE-C|euclidean|distance_mean|k=5,SPACE-C,euclidean,distance_mean,5,0.4606256906749161,0.4606250977168208,0.0014670678483959248,0.46002742181056405,0.459488437034677,0.460763302377729,0.46340044808985875,0.4594458792712751,-0.08453507182552675,-0.16762735207545346,0.002025239299544522,0.0695322987738052
SPACE-C|manhattan|distance_mean|k=10,SPACE-C,manhattan,distance_mean,10,0.4587604147384541,0.45875971125345527,0.0014349463501638032,0.45818548734308967,0.45744146745140263,0.4591048287416792,0.46139236496676356,0.45767440776434154,-0.08692549012687129,-0.17599583983701028,0.0019315296001608051,0.07335951671435521
SPACE-C|euclidean|distance_mean|k=10,SPACE-C,euclidean,distance_mean,10,0.45627235330555144,0.4562717549389882,0.001571889984451606,0.4556458706810952,0.45498876471923927,0.4564429784797034,0.4592354983912459,0.45504566242365696,-0.08771398354477393,-0.18257450613096454,0.0019514721164977035,0.07375806261989103
SPACE-C|manhattan|distance_mean|k=20,SPACE-C,manhattan,distance_mean,20,0.45553164842978333,0.4555318355204022,0.0014847586984055017,0.4551437533917314,0.45412292035041346,0.4556851679132944,0.4582917810096825,0.45441555493688957,-0.08916568565301806,-0.18929965599112678,0.0018100864304441467,0.07875971774712905
SPACE-C|manhattan|distance_mean|k=50,SPACE-C,manhattan,distance_mean,50,0.45315971819239625,0.45315794532528936,0.0015560407183238866,0.4526804836191267,0.45200966829967826,0.4532415647074505,0.4560927685652426,0.4517652414349491,-0.09062879834263397,-0.20305846138461994,0.0017045362733938293,0.08683158536495698
SPACE-C|euclidean|distance_mean|k=20,SPACE-C,euclidean,distance_mean,20,0.4529553638615351,0.4529551071854002,0.0015818270153929975,0.4525164886622654,0.4516142031826913,0.4529296739361605,0.45596600797343506,0.4517491621724489,-0.08961986275700261,-0.19601437429495133,0.0018078964030067005,0.07909670404087414
SPACE-C|manhattan|distance_mean|k=200,SPACE-C,manhattan,distance_mean,200,0.4525779458615588,0.4525753709512105,0.0014064452730627724,0.45211100491973577,0.45176215887494364,0.4522214449987664,0.45533500125802423,0.45144724470458253,-0.08941779250121003,-0.21890338638950457,0.0014574084332173323,0.1014956367325437
SPACE-C|manhattan|distance_mean|k=100,SPACE-C,manhattan,distance_mean,100,0.45236872690936597,0.4523655106464031,0.0014798869925034149,0.45197693187555743,0.4513616239330627,0.45225646553351717,0.45519621638729657,0.45103631550258144,-0.09055873644503917,-0.21158707820317568,0.0015968585755650562,0.09351085209521277
SPACE-C|euclidean|distance_mean|k=200,SPACE-C,euclidean,distance_mean,200,0.4518915296907733,0.45188898879650435,0.0013781728646226614,0.4514873385658508,0.45095452044465567,0.45137469772307637,0.454614991358799,0.45101339589014,-0.08778301443667316,-0.2226315906641623,0.0013595140670809593,0.10359639153531909
