candidate,method,weights,auc,folds,std,cat_weight
seed_ensemble,probability,"{42: 0.3, 2026: 0.3, 777: 0.4}",0.9657918558906295,"[0.965115873782221, 0.965729241657853, 0.9659958528695358, 0.9665583722942285, 0.9655595261401976]",0.00047833285404493,
seed_ensemble,rank,"{42: 0.3, 2026: 0.3, 777: 0.4}",0.965789473682074,"[0.9651144402665243, 0.965726019038451, 0.9659926584130085, 0.966555375231544, 0.9655580909606931]",0.00047772872279926187,
seed_ensemble,probability,"{42: 0.3, 2026: 0.4, 777: 0.3}",0.9657930807904263,"[0.9651156422630928, 0.965729268932709, 0.9660004931471601, 0.9665631951230994, 0.965557021014265]",0.0004805861194749576,
seed_ensemble,rank,"{42: 0.3, 2026: 0.4, 777: 0.3}",0.965790707345363,"[0.9651142536557641, 0.9657258302710743, 0.965997137959271, 0.9665602569233603, 0.9655558949952352]",0.00047994908370750796,
seed_ensemble,probability,"{42: 0.3, 2026: 0.5, 777: 0.2}",0.9657877798669197,"[0.9651102424758691, 0.9657221425836594, 0.965997152294428, 0.9665614113475053, 0.9655493433811333]",0.0004821948195872694,
seed_ensemble,rank,"{42: 0.3, 2026: 0.5, 777: 0.2}",0.965785523498464,"[0.9651088848223305, 0.9657184820442409, 0.965993971919338, 0.966559115058335, 0.9655483793637151]",0.0004817605515908362,
seed_ensemble,probability,"{42: 0.3, 2026: 0.6, 777: 0.1}",0.9657760322604867,"[0.9650984637975144, 0.9657085002080394, 0.9659860047435592, 0.9665534907292718, 0.9655351807359723]",0.00048377654632700875,
seed_ensemble,rank,"{42: 0.3, 2026: 0.6, 777: 0.1}",0.9657740243296881,"[0.965097474544824, 0.9657052300162137, 0.9659830695884554, 0.9665514479059741, 0.965534513573503]",0.0004833020768600754,
seed_ensemble,probability,"{42: 0.3, 2026: 0.7, 777: 0.0}",0.9657577755712036,"[0.9650810841322992, 0.9656889566952808, 0.9659676098193952, 0.9665391742206951, 0.9655151005284341]",0.00048500534454666675,
seed_ensemble,rank,"{42: 0.3, 2026: 0.7, 777: 0.0}",0.9657562482573343,"[0.9650805688278071, 0.9656860960068773, 0.9659652728082302, 0.9665378102241665, 0.9655144921026493]",0.0004846521722873613,
